lactobacillus_helveticus	SAMN26276568	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0084/SAMN26276568.aln.fas
enterobacter_kobei	SAMN25988731	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0084/SAMN25988731.aln.fas
staphylococcus_saprophyticus	SAMN13958342	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0065/SAMN13958342.aln.fas
tenacibaculum_finnmarkense_a	SAMN13973657	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0065/SAMN13973657.aln.fas
photorhabdus_bodei	SAMN14072310	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0065/SAMN14072310.aln.fas
mycoplasmopsis_a_anserisalpingitidis	SAMN13885762	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0065/SAMN13885762.aln.fas
burkholderia_contaminans	SAMN05772807	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0041/SAMN05772807.aln.fas
brucella_melitensis	SAMN05932957	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0041/SAMN05932957.aln.fas
vibrio_splendidus	SAMN05824181	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0041/SAMN05824181.aln.fas
stenotrophomonas_maltophilia	SAMN06019654	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0041/SAMN06019654.aln.fas
xanthomonas_oryzae	SAMN05953076	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0041/SAMN05953076.aln.fas
ligilactobacillus_salivarius	SAMN05942023	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0041/SAMN05942023.aln.fas
mammaliicoccus_sciuri	SAMN05977983	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0041/SAMN05977983.aln.fas
enterococcus_b_hirae	SAMN09544971	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0051/SAMN09544971.aln.fas
salmonella_enterica	SAMN09666596	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0051/SAMN09666596.aln.fas
enterococcus_b_mundtii	SAMN09655708	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0051/SAMN09655708.aln.fas
mesomycoplasma_hyopneumoniae	SAMN09533020	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0051/SAMN09533020.aln.fas
phaeobacter_inhibens	SAMN24764370	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0083/SAMN24764370.aln.fas
vibrio_aestuarianus	SAMN25002019	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0083/SAMN25002019.aln.fas
streptomyces_albidoflavus	SAMN25039543	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0083/SAMN25039543.aln.fas
corynebacterium_pseudodiphtheriticum	SAMN24898274	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0083/SAMN24898274.aln.fas
erwinia_amylovora	SAMN24274145	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0083/SAMN24274145.aln.fas
campylobacter_d_lari_d	SAMN25132959	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0083/SAMN25132959.aln.fas
bacillus_a_thuringiensis	SAMN25026035	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0083/SAMN25026035.aln.fas
ralstonia_pseudosolanacearum	SAMN24674380	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0083/SAMN24674380.aln.fas
haemophilus_seminalis	SAMEA8156169	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0030/SAMEA8156169.aln.fas
campylobacter_fetus	SAMEA7816861	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0030/SAMEA7816861.aln.fas
citrobacter_gillenii	SAMEA7584660	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0030/SAMEA7584660.aln.fas
haemophilus_influenzae_g	SAMEA7620217	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0030/SAMEA7620217.aln.fas
haemophilus_influenzae_d	SAMEA7623894	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0030/SAMEA7623894.aln.fas
yersinia_enterocolitica	SAMEA7740409	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0030/SAMEA7740409.aln.fas
haemophilus_influenzae_e	SAMEA7619012	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0030/SAMEA7619012.aln.fas
campylobacter_d_upsaliensis	SAMN09786963	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0052/SAMN09786963.aln.fas
xylella_fastidiosa	SAMN09767242	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0052/SAMN09767242.aln.fas
listeria_innocua	SAMN09788313	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0052/SAMN09788313.aln.fas
moraxella_bovoculi	SAMN09865857	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0052/SAMN09865857.aln.fas
enterococcus_d_gallinarum	SAMN32509129	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0093/SAMN32509129.aln.fas
bacteroides_stercoris	SAMN32508594	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0093/SAMN32508594.aln.fas
bartonella_krasnovii	SAMN32324174	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0093/SAMN32324174.aln.fas
bacteroides_caccae	SAMN32508401	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0093/SAMN32508401.aln.fas
parabacteroides_distasonis	SAMN32509257	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0093/SAMN32509257.aln.fas
phocaeicola_dorei	SAMN32509385	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0093/SAMN32509385.aln.fas
yersinia_intermedia	SAMN19699946	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0077/SAMN19699946.aln.fas
acinetobacter_ursingii	SAMN19774153	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0077/SAMN19774153.aln.fas
klebsiella_planticola	SAMN19856780	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0077/SAMN19856780.aln.fas
yersinia_massiliensis	SAMN19699893	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0077/SAMN19699893.aln.fas
stenotrophomonas_maltophilia_am	SAMN19855444	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0077/SAMN19855444.aln.fas
brachyspira_hyodysenteriae	SAMN19814083	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0077/SAMN19814083.aln.fas
mycobacterium_avium	SAMN19550792	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0077/SAMN19550792.aln.fas
pseudomonas_e_asiatica	SAMN34405153	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0096/SAMN34405153.aln.fas
sulfitobacter_mediterraneus	SAMN17369686	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0073/SAMN17369686.aln.fas
pseudosulfitobacter_pseudonitzschiae	SAMN17369610	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0073/SAMN17369610.aln.fas
curtobacterium_flaccumfaciens	SAMN17506653	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0073/SAMN17506653.aln.fas
bacillus_a_mycoides	SAMN17054836	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0073/SAMN17054836.aln.fas
serratia_nematodiphila	SAMN10149536	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0053/SAMN10149536.aln.fas
citrobacter_werkmanii	SAMN10129703	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0053/SAMN10129703.aln.fas
helicobacter_pylori	SAMN10053467	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0053/SAMN10053467.aln.fas
salinibacter_ruber	SAMN13167395	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0063/SAMN13167395.aln.fas
xanthomonas_arboricola	SAMN13172221	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0063/SAMN13172221.aln.fas
bacillus_velezensis	SAMN13262482	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0063/SAMN13262482.aln.fas
mammaliicoccus_lentus	SAMN31805546	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0092/SAMN31805546.aln.fas
salmonella_houtenae	SAMN31461472	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0092/SAMN31461472.aln.fas
staphylococcus_borealis	SAMN31805479	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0092/SAMN31805479.aln.fas
vibrio_mediterranei	SAMN06299563	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0042/SAMN06299563.aln.fas
enterococcus_d_casseliflavus	SAMN06163807	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0042/SAMN06163807.aln.fas
sphingomonas_sp001421535	SAMEA8653389	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0031/SAMEA8653389.aln.fas
vibrio_metschnikovii	SAMEA8271347	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0031/SAMEA8271347.aln.fas
sphingomonas_aerolata	SAMEA8653536	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0031/SAMEA8653536.aln.fas
sphingomonas_sp024072375	SAMEA8653444	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0031/SAMEA8653444.aln.fas
pseudomonas_e_viridiflava	SAMEA8653849	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0031/SAMEA8653849.aln.fas
vibrio_alginolyticus	SAMEA8204092	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0031/SAMEA8204092.aln.fas
macrococcus_b_caseolyticus	SAMN08117953	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0047/SAMN08117953.aln.fas
nocardia_cyriacigeorgica	SAMN08458168	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0047/SAMN08458168.aln.fas
mycobacterium_marinum	SAMN08131125	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0047/SAMN08131125.aln.fas
escherichia_ruysiae	SAMN08395599	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0047/SAMN08395599.aln.fas
burkholderia_cenocepacia	SAMN18681451	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0075/SAMN18681451.aln.fas
dichelobacter_nodosus	SAMN07125753	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0043/SAMN07125753.aln.fas
morganella_morganii	SAMN06812616	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0043/SAMN06812616.aln.fas
enterobacter_asburiae	SAMN06812669	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0043/SAMN06812669.aln.fas
burkholderia_stabilis	SAMN23838568	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0082/SAMN23838568.aln.fas
glaesserella_parasuis	SAMN30199141	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0089/SAMN30199141.aln.fas
hafnia_paralvei	SAMN29982292	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0089/SAMN29982292.aln.fas
treponema_pallidum	SAMN30221394	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0089/SAMN30221394.aln.fas
acinetobacter_baylyi	SAMN30089355	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0089/SAMN30089355.aln.fas
staphylococcus_xylosus	SAMN30379306	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0089/SAMN30379306.aln.fas
staphylococcus_simulans	SAMN30379285	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0089/SAMN30379285.aln.fas
hafnia_alvei	SAMN29982337	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0089/SAMN29982337.aln.fas
lactobacillus_johnsonii	SAMN29951144	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0089/SAMN29951144.aln.fas
staphylococcus_delphini	SAMN30379164	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0089/SAMN30379164.aln.fas
clostridium_f_botulinum	SAMN17597325	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0074/SAMN17597325.aln.fas
serratia_bockelmannii	SAMN17965051	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0074/SAMN17965051.aln.fas
neisseria_elongata	SAMN17958626	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0074/SAMN17958626.aln.fas
citrobacter_a_farmeri	SAMN14125980	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0066/SAMN14125980.aln.fas
mycobacterium_intracellulare	SAMN14112189	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0066/SAMN14112189.aln.fas
pseudomonas_aeruginosa	SAMN14160423	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0066/SAMN14160423.aln.fas
aeromonas_caviae	SAMN14147048	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0066/SAMN14147048.aln.fas
rhizobium_rhizogenes	SAMN14165512	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0066/SAMN14165512.aln.fas
listeria_a_booriae	SAMN14390034	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0066/SAMN14390034.aln.fas
citrobacter_europaeus	SAMN14125877	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0066/SAMN14125877.aln.fas
agrobacterium_fabacearum	SAMN14165546	/nfs/research/jlees/shared/atb_tree/2440k_fastas_concat/x0066/SAMN14165546.aln.fas
