name	pan_genes	core_genes	intermediate_genes	rare_genes	avg_gene_freq	dist_file
Stenotrophomonas_maltophilia	13248	2996	4199	6053	0.31659717231604584	/hps/software/users/jlees/shorsfield/software/PopPUNK-mod/distances/2_column/Stenotrophomonas_maltophilia.txt
Staphylococcus_aureus	5326	2091	1761	1474	0.4804156065398385	/hps/software/users/jlees/shorsfield/software/PopPUNK-mod/distances/2_column/Staphylococcus_aureus.txt
Haemophilus_influenzae	4386	1346	1454	1586	0.3974355375783344	/hps/software/users/jlees/shorsfield/software/PopPUNK-mod/distances/2_column/Haemophilus_influenzae.txt
Bordetalla_pertussis	6245	3138	1695	1412	0.5947932077004887	/hps/software/users/jlees/shorsfield/software/PopPUNK-mod/distances/2_column/Bordetalla_pertussis.txt
Helicobacter_pylori	4560	1181	904	2475	0.31872356879039704	/hps/software/users/jlees/shorsfield/software/PopPUNK-mod/distances/2_column/Helicobacter_pylori.txt
Acinetobacter_baumannii	11195	2657	3724	4814	0.3226045696641032	/hps/software/users/jlees/shorsfield/software/PopPUNK-mod/distances/2_column/Acinetobacter_baumannii.txt
Escherichia_coli	17708	2828	6458	8422	0.2626871470521798	/hps/software/users/jlees/shorsfield/software/PopPUNK-mod/distances/2_column/Escherichia_coli.txt
Streptococcus_dysgalactiae_subspecies_equisimilis	4681	1550	1666	1465	0.42828333384197514	/hps/software/users/jlees/shorsfield/software/PopPUNK-mod/distances/2_column/Streptococcus_dysgalactiae_subspecies_equisimilis.txt
Morexalla_catarrhalis	3446	1427	1115	904	0.5030100258327359	/hps/software/users/jlees/shorsfield/software/PopPUNK-mod/distances/2_column/Morexalla_catarrhalis.txt
Enterococcus_faecalis	7273	2148	2430	2695	0.38048330493203336	/hps/software/users/jlees/shorsfield/software/PopPUNK-mod/distances/2_column/Enterococcus_faecalis.txt
Mycobacterium_tuberculosis	5668	3672	889	1107	0.7051142138787158	/hps/software/users/jlees/shorsfield/software/PopPUNK-mod/distances/2_column/Mycobacterium_tuberculosis.txt
Listeria_monocytogenes	5424	2488	1535	1401	0.5321299939168028	/hps/software/users/jlees/shorsfield/software/PopPUNK-mod/distances/2_column/Listeria_monocytogenes.txt
Streptococcus_pyogenes	3592	1393	1049	1150	0.4644578570716256	/hps/software/users/jlees/shorsfield/software/PopPUNK-mod/distances/2_column/Streptococcus_pyogenes.txt
Neisseria_gonorrhoeae	3582	1780	860	942	0.5902166570141839	/hps/software/users/jlees/shorsfield/software/PopPUNK-mod/distances/2_column/Neisseria_gonorrhoeae.txt
Enterococcus_faecium	5292	2041	2275	976	0.54107235592198	/hps/software/users/jlees/shorsfield/software/PopPUNK-mod/distances/2_column/Enterococcus_faecium.txt
Neisseria_meningitidis	6856	1243	2529	3084	0.289385431173208	/hps/software/users/jlees/shorsfield/software/PopPUNK-mod/distances/2_column/Neisseria_meningitidis.txt
Salmonella_enterica	10909	3553	2711	4645	0.40160337142839964	/hps/software/users/jlees/shorsfield/software/PopPUNK-mod/distances/2_column/Salmonella_enterica.txt
Mycobacterium_abscessus	12488	4021	3478	4989	0.39502852971410696	/hps/software/users/jlees/shorsfield/software/PopPUNK-mod/distances/2_column/Mycobacterium_abscessus.txt
Streptococcus_agalactiae	4435	1572	1607	1256	0.45435214204248037	/hps/software/users/jlees/shorsfield/software/PopPUNK-mod/distances/2_column/Streptococcus_agalactiae.txt
Campylobacter_jejuni	4727	1336	1470	1921	0.36728347712135156	/hps/software/users/jlees/shorsfield/software/PopPUNK-mod/distances/2_column/Campylobacter_jejuni.txt
Klebsiella_pneumoniae	12062	4132	3345	4585	0.4151360739122377	/hps/software/users/jlees/shorsfield/software/PopPUNK-mod/distances/2_column/Klebsiella_pneumoniae.txt
Streptococcus_pneumoniae	6552	1425	2157	2970	0.3096411120178726	/hps/software/users/jlees/shorsfield/software/PopPUNK-mod/distances/2_column/Streptococcus_pneumoniae.txt
Pseudomonas_aeruginosa	13498	5117	2819	5562	0.43801215462565757	/hps/software/users/jlees/shorsfield/software/PopPUNK-mod/distances/2_column/Pseudomonas_aeruginosa.txt
