"y_var","x_model","metric","value"
"rate_genes1_median","Host_or_free","Fixed effect",0.0339
"rate_genes1_median","Host_or_free","Random effect",0.05899
"rate_genes1_median","Host_or_free","Total model",0.09289
"rate_genes1_median","Host_or_free","tip",1.26532809785241e-06
"rate_genes1_median","Host_or_free","units",1.94570916472612e-05
"rate_genes1_median","Category_primary_env","Fixed effect",0.01269
"rate_genes1_median","Category_primary_env","Random effect",0.05393
"rate_genes1_median","Category_primary_env","Total model",0.06662
"rate_genes1_median","Category_primary_env","tip",1.13468739587539e-06
"rate_genes1_median","Category_primary_env","units",1.96381671030275e-05
"rate_genes1_median","Obligate_facultative","Fixed effect",0.008883
"rate_genes1_median","Obligate_facultative","Random effect",0.070076
"rate_genes1_median","Obligate_facultative","Total model",0.078959
"rate_genes1_median","Obligate_facultative","tip",1.543640040416e-06
"rate_genes1_median","Obligate_facultative","units",2.02888268237365e-05
"rate_genes1_median","Intra_or_extracellular","Fixed effect",0.02503
"rate_genes1_median","Intra_or_extracellular","Random effect",0.0724
"rate_genes1_median","Intra_or_extracellular","Total model",0.09743
"rate_genes1_median","Intra_or_extracellular","tip",1.57750316374771e-06
"rate_genes1_median","Intra_or_extracellular","units",1.96651065136449e-05
"rate_genes1_median","Effect_on_host","Fixed effect",0.001449
"rate_genes1_median","Effect_on_host","Random effect",0.07102
"rate_genes1_median","Effect_on_host","Total model",0.072469
"rate_genes1_median","Effect_on_host","tip",1.56434274902662e-06
"rate_genes1_median","Effect_on_host","units",2.04303865873041e-05
"rate_genes1_median","Motility","Fixed effect",0.02563
"rate_genes1_median","Motility","Random effect",0.05229
"rate_genes1_median","Motility","Total model",0.07791
"rate_genes1_median","Motility","tip",1.11361363589564e-06
"rate_genes1_median","Motility","units",1.96394423821222e-05
"rate_genes1_median","combined","Fixed effect",0.05473
"rate_genes1_median","combined","Random effect",0.07693
"rate_genes1_median","combined","Total model",0.13166
"rate_genes1_median","combined","tip",1.84656145843124e-06
"rate_genes1_median","combined","units",2.08441128205191e-05
"rate_genes1_median","NE","Fixed effect",0.004848
"rate_genes1_median","NE","Random effect",0.098797
"rate_genes1_median","NE","Total model",0.103645
"rate_genes1_median","NE","tip",2.95751260861409e-06
"rate_genes1_median","NE","units",2.68327220154318e-05
"rate_genes1_median","Genome_size","Fixed effect",1.969e-06
"rate_genes1_median","Genome_size","Random effect",0.06851
"rate_genes1_median","Genome_size","Total model",0.06851
"rate_genes1_median","Genome_size","tip",1.45062530792122e-06
