"y_var","x_model","metric","value"
"prop_genes2_lower_CI","Pangenome_size","Fixed effect",0.07355
"prop_genes2_lower_CI","Pangenome_size","Random effect",0.1077
"prop_genes2_lower_CI","Pangenome_size","tip",0.001114003346214
"prop_genes2_lower_CI","Pangenome_size","Total model",0.18125
"prop_genes2_lower_CI","Pangenome_size","units",0.0084687434166805
"prop_genes2_lower_CI","Rare_genes","Fixed effect",0.0418
"prop_genes2_lower_CI","Rare_genes","Random effect",0.1158
"prop_genes2_lower_CI","Rare_genes","tip",0.00118727872885901
"prop_genes2_lower_CI","Rare_genes","Total model",0.1576
"prop_genes2_lower_CI","Rare_genes","units",0.00863885643806401
"prop_genes2_median","Avg_gene_freq","Fixed effect",0.10686
"prop_genes2_median","Avg_gene_freq","Random effect",0.09167
"prop_genes2_median","Avg_gene_freq","tip",0.00187520656285413
"prop_genes2_median","Avg_gene_freq","Total model",0.19853
"prop_genes2_median","Avg_gene_freq","units",0.0163946486734102
"prop_genes2_median","Core_genes","Fixed effect",0.0006996
"prop_genes2_median","Core_genes","Random effect",0.1861288
"prop_genes2_median","Core_genes","tip",0.00397713203082602
"prop_genes2_median","Core_genes","Total model",0.1868283
"prop_genes2_median","Core_genes","units",0.0173755562733927
"prop_genes2_median","Intermediate_genes","Fixed effect",0.1104
"prop_genes2_median","Intermediate_genes","Random effect",0.1187
"prop_genes2_median","Intermediate_genes","tip",0.00249454955429124
"prop_genes2_median","Intermediate_genes","Total model",0.229
"prop_genes2_median","Intermediate_genes","units",0.0162038443020731
"prop_genes2_median","Pangenome_size","Fixed effect",0.05501
"prop_genes2_median","Pangenome_size","Random effect",0.15187
"prop_genes2_median","Pangenome_size","tip",0.00323328792149444
"prop_genes2_median","Pangenome_size","Total model",0.20688
"prop_genes2_median","Pangenome_size","units",0.016885772068245
"prop_genes2_median","Rare_genes","Fixed effect",0.03034
"prop_genes2_median","Rare_genes","Random effect",0.15143
"prop_genes2_median","Rare_genes","tip",0.00318513115909399
"prop_genes2_median","Rare_genes","Total model",0.18177
"prop_genes2_median","Rare_genes","units",0.0172108178159726
"prop_genes2_upper_CI","Avg_gene_freq","Fixed effect",0.11027
"prop_genes2_upper_CI","Avg_gene_freq","Random effect",0.08165
"prop_genes2_upper_CI","Avg_gene_freq","tip",0.00277590006366348
"prop_genes2_upper_CI","Avg_gene_freq","Total model",0.19192
"prop_genes2_upper_CI","Avg_gene_freq","units",0.0274727947250535
"prop_genes2_upper_CI","Core_genes","Fixed effect",0.007941
"prop_genes2_upper_CI","Core_genes","Random effect",0.194339
"prop_genes2_upper_CI","Core_genes","tip",0.00700778305906139
"prop_genes2_upper_CI","Core_genes","Total model",0.202281
"prop_genes2_upper_CI","Core_genes","units",0.0287653687578686
"prop_genes2_upper_CI","Intermediate_genes","Fixed effect",0.1401
"prop_genes2_upper_CI","Intermediate_genes","Random effect",0.1374
"prop_genes2_upper_CI","Intermediate_genes","tip",0.00492783415030595
"prop_genes2_upper_CI","Intermediate_genes","Total model",0.2775
"prop_genes2_upper_CI","Intermediate_genes","units",0.0259173403515854
"prop_genes2_upper_CI","Pangenome_size","Fixed effect",0.03906
"prop_genes2_upper_CI","Pangenome_size","Random effect",0.16994
"prop_genes2_upper_CI","Pangenome_size","tip",0.00607835882901087
"prop_genes2_upper_CI","Pangenome_size","Total model",0.20899
"prop_genes2_upper_CI","Pangenome_size","units",0.0282931942675444
"prop_genes2_upper_CI","Rare_genes","Fixed effect",0.01274
"prop_genes2_upper_CI","Rare_genes","Random effect",0.16513
"prop_genes2_upper_CI","Rare_genes","tip",0.00583736556754636
"prop_genes2_upper_CI","Rare_genes","Total model",0.17787
"prop_genes2_upper_CI","Rare_genes","units",0.0290619180337435
"rate_genes1_lower_CI","Avg_gene_freq","Fixed effect",0.006121
"rate_genes1_lower_CI","Avg_gene_freq","Random effect",0.662492
"rate_genes1_lower_CI","Avg_gene_freq","tip",5.8908420016726e-07
"rate_genes1_lower_CI","Avg_gene_freq","Total model",0.668613
"rate_genes1_lower_CI","Avg_gene_freq","units",2.94667046346429e-07
"rate_genes1_lower_CI","Core_genes","Fixed effect",0.001865
"rate_genes1_lower_CI","Core_genes","Random effect",0.651214
"rate_genes1_lower_CI","Core_genes","tip",5.65932830224243e-07
"rate_genes1_lower_CI","Core_genes","Total model",0.653079
"rate_genes1_lower_CI","Core_genes","units",3.01489719302971e-07
"rate_genes1_lower_CI","Intermediate_genes","Fixed effect",0.00146
"rate_genes1_lower_CI","Intermediate_genes","Random effect",0.64701
"rate_genes1_lower_CI","Intermediate_genes","tip",5.56833970978914e-07
"rate_genes1_lower_CI","Intermediate_genes","Total model",0.64847
"rate_genes1_lower_CI","Intermediate_genes","units",3.02537417458501e-07
"rate_genes1_lower_CI","Pangenome_size","Fixed effect",0.009246
"rate_genes1_lower_CI","Pangenome_size","Random effect",0.650336
"rate_genes1_lower_CI","Pangenome_size","tip",5.68642193746307e-07
"rate_genes1_lower_CI","Pangenome_size","Total model",0.659582
"rate_genes1_lower_CI","Pangenome_size","units",2.97655413600997e-07
"rate_genes1_lower_CI","Rare_genes","Fixed effect",0.01175
"rate_genes1_lower_CI","Rare_genes","Random effect",0.65315
"rate_genes1_lower_CI","Rare_genes","tip",5.74002368083039e-07
"rate_genes1_lower_CI","Rare_genes","Total model",0.66489
"rate_genes1_lower_CI","Rare_genes","units",2.94499280503481e-07
"rate_genes1_median","Avg_gene_freq","Fixed effect",0.009886
"rate_genes1_median","Avg_gene_freq","Random effect",0.036984
"rate_genes1_median","Avg_gene_freq","tip",1.364569032929e-06
"rate_genes1_median","Avg_gene_freq","Total model",0.04687
"rate_genes1_median","Avg_gene_freq","units",3.51670090897505e-05
"rate_genes1_median","Core_genes","Fixed effect",0.005678
"rate_genes1_median","Core_genes","Random effect",0.043658
"rate_genes1_median","Core_genes","tip",1.61618240589892e-06
"rate_genes1_median","Core_genes","Total model",0.049336
"rate_genes1_median","Core_genes","units",3.51924808240254e-05
"rate_genes1_median","Intermediate_genes","Fixed effect",2.062e-05
"rate_genes1_median","Intermediate_genes","Random effect",0.03776
"rate_genes1_median","Intermediate_genes","tip",1.39337704307617e-06
"rate_genes1_median","Intermediate_genes","Total model",0.03778
"rate_genes1_median","Intermediate_genes","units",3.55064983649696e-05
"rate_genes1_median","Pangenome_size","Fixed effect",0.002165
"rate_genes1_median","Pangenome_size","Random effect",0.039149
"rate_genes1_median","Pangenome_size","tip",1.44448163156227e-06
"rate_genes1_median","Pangenome_size","Total model",0.041314
"rate_genes1_median","Pangenome_size","units",3.53728349934819e-05
"rate_genes1_median","Rare_genes","Fixed effect",0.01145
"rate_genes1_median","Rare_genes","Random effect",0.04037
"rate_genes1_median","Rare_genes","tip",1.49434639476222e-06
