parameter,mean,median,CI_2.5%,CI_97.5%
core_mu,4.0971153895022544e-05,5.700246471008778e-07,1.6445420542011213e-09,0.0004987870379631789
prop_genes2,0.11535521385948891,0.10696901251158142,0.010917444773081413,0.29890344103008915
rate_genes1,0.0004293118116180982,0.000342404402020203,7.429246089618837e-05,0.001194955744168555
