core_mu,prop_genes2,rate_genes1,discrepancy
6.429407583091825e-07,0.0,6.477758980694266e-05,-0.5743660598001135
4.608997081474538e-06,0.0,0.011461722274457903,0.13238066708760932
3.207040614815211e-05,0.0,0.0037381938531477173,0.13238066708760932
9.353912212802263e-08,0.0,0.01595941011825009,-0.0544123104413346
2.905844931535135e-06,0.0,0.00013653545347328642,0.12803623259448016
1.1974767711925808e-09,0.0,0.0008948051220204313,-0.00594978982254613
4.8176179540187515e-08,0.0,0.005170528166703971,-0.09941565758096696
3.0830008605398667e-07,0.0,0.0006356003895997101,-0.07999671359035171
7.74326359506795e-08,0.0,0.0781985786973513,0.01616306485791716
2.180225976479302e-06,0.0,0.15971802030261556,0.1322038749045349
5.613338187126868e-06,0.0,0.3382021999166351,0.13238066708760932
5.477164579579927e-07,0.0,4.480386203713301e-05,-0.13743834993604204
2.0720026631357653e-05,0.0,0.0008267233720628081,0.13238066708760932
4.087834375883135e-05,0.0,0.0007085583148937829,0.13235317225745796
2.5444499082269954e-06,0.0,0.009748862090587293,0.13085818868541982
5.076658708677041e-05,0.0,0.24409727404529696,0.13238066708760932
8.021810078131162e-07,0.0,0.0005092797913640028,0.02000373109834889
0.00021564361383699638,0.0,0.003670744721000119,0.13238066708760932
0.00025477383058789113,0.0,0.03204572844752533,0.13238066708760932
9.146590687893797e-06,0.0,0.0689129167587376,0.13238066708760932
1.6643487114384711e-06,0.0,0.06949692897385679,0.13221148592488968
6.259076472623448e-08,0.0,1.4413285221054273e-05,-0.20101525901131312
4.812674824120693e-05,0.0,0.0778666320270308,0.13238066708760932
7.090612596821016e-09,0.0,9.706995399427716e-05,-0.1396839716702534
3.5650589927626662e-06,0.0,0.043132753053801404,0.1322420466370255
3.5709936595240604e-08,0.0,0.0008096246312018038,-0.1437192694711077
3.6076102800623404e-07,0.0,0.000533585687928188,-0.15173522512769105
0.0006092964292985714,0.0,0.0014565359754125852,0.13238066708760932
9.683172246074329e-06,0.0,0.00010365714451590273,0.12873623533874928
6.5016619994575035e-06,0.0,0.07961433239376367,0.13238066708760932
0.00013654448191049068,0.0,0.055330471999328154,0.13238066708760932
1.9663686858177927e-05,0.0,1.0516126510502919e-05,0.12654553838637936
2.7262323194105316e-07,0.0,0.00473131643424531,-0.05731183198987137
4.595384088001677e-07,0.0,2.9283022614427137e-05,-0.3777523951209426
1.6305415316041097e-07,0.0,0.0882679103801185,0.028691297709480014
3.322649808281465e-05,0.0,0.1268942346843728,0.13238066708760932
0.00032911239990535113,0.0,0.06175297024664394,0.13238066708760932
7.776020269386347e-08,0.0,1.4118638590494128e-05,-0.16718693088706077
1.327427621916892e-05,0.0,0.1515776069737248,0.1323805390018827
3.0020459385128005e-05,0.0,1.11739995673226e-05,0.12675002212668487
1.3554494901379874e-07,0.0,0.006112322800870919,-0.07516277652950588
7.549732338742466e-07,0.0,0.00019214715384966938,-0.08492257931120245
6.833704978545518e-08,0.0,9.600390383044047e-05,-0.18227140841634443
